label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen3-4b-fp8-r570124,completions,cold,3072,1,0,0.15077579021453857,0.33860762044787407,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,1,0.15335242077708244,0.3410782665014267,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,2,0.1587132178246975,0.3464537784457207,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,3,0.1579173468053341,0.3445443995296955,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,4,0.15984826534986496,0.3488403521478176,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,5,0.15567582845687866,0.34308525174856186,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,6,0.15769270807504654,0.34521666541695595,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,7,0.15969916060566902,0.3472437262535095,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,8,0.15538538247346878,0.3434779793024063,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,9,0.1559157483279705,0.3443208932876587,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,10,0.15867986530065536,0.3460523933172226,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,11,0.15999870374798775,0.3479641452431679,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,12,0.1552249938249588,0.3438180312514305,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,13,0.13350118324160576,0.3247217945754528,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,14,0.15935926884412766,0.34692227467894554,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,15,0.15799038857221603,0.34605836123228073,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,16,0.1562056615948677,0.344636220484972,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,17,0.15782319754362106,0.34550580382347107,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,18,0.16067364439368248,0.34909411147236824,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,19,0.1569736823439598,0.34539997577667236,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,20,0.15912485495209694,0.346739262342453,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,21,0.15841127187013626,0.34590258449316025,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,22,0.15612416341900826,0.3449147716164589,16
qwen3-4b-fp8-r570124,completions,cold,3072,1,23,0.14454197138547897,0.33261942863464355,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,0,0.20729711279273033,0.398049533367157,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,1,0.21507126465439796,0.40605785697698593,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,2,0.21517349034547806,0.4066842719912529,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,3,0.21867458894848824,0.40884847566485405,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,4,0.21511856094002724,0.4060976132750511,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,5,0.19307519122958183,0.38377854973077774,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,6,0.21800373494625092,0.4085581749677658,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,7,0.21506979316473007,0.40587736666202545,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,8,0.2161378525197506,0.40741030499339104,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,9,0.21924057230353355,0.41006117314100266,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,10,0.2178487367928028,0.4093090072274208,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,11,0.21922269463539124,0.4098486006259918,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,12,0.214264377951622,0.4074144847691059,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,13,0.20910336449742317,0.4007926993072033,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,14,0.22117553278803825,0.4127728082239628,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,15,0.21981605514883995,0.4110623262822628,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,16,0.21683844551444054,0.4093952551484108,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,17,0.21890491247177124,0.410149984061718,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,18,0.21809552237391472,0.4090980812907219,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,19,0.21742543950676918,0.4087546654045582,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,20,0.2116507552564144,0.40283339470624924,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,21,0.21724214032292366,0.40845151245594025,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,22,0.22035467997193336,0.411006361246109,16
qwen3-4b-fp8-r570124,completions,cold,4096,1,23,0.21677788719534874,0.40846721455454826,16
